948,-0.25865,0.06395,-0.44228,0
469,0.38058,0.42691,0.60582,0
156,0.44399,-0.19542,-0.25916,1
740,0.15378,0.92653,-0.23202,0
685,0.83123,0.12427,-0.32247,0
455,0.69314,0.10505,-0.46569,0
789,-0.44794,0.09746,-0.22552,0
804,-0.37351,0.17844,0.84572,0
312,0.96449,0.03770,-0.10882,1
346,0.18293,-0.19805,-0.17418,1
599,0.51739,0.61440,0.36535,0
495,0.55511,0.33265,-0.15123,0
7,-0.11794,0.12108,-0.14900,1
70,0.19078,0.57747,-0.42804,0
835,0.35259,0.23843,0.59725,0
442,-0.08226,0.36945,0.47506,0
885,0.61063,0.04429,-0.08901,0
197,-0.04377,0.03646,-0.03892,1
870,0.50576,0.48761,0.10271,0
813,1.26070,0.45013,-0.03503,1
117,-0.19707,0.57126,0.40050,0
76,0.93730,0.02109,0.23317,1
543,0.03597,0.30650,0.77963,0
370,0.10254,0.64298,-0.35550,0
808,-0.33000,0.05699,0.61095,0
845,-0.71644,0.24818,0.53564,0
926,0.04693,0.56470,-0.29603,0
844,0.32141,0.15529,0.93265,0
137,-0.07072,0.76048,-0.36860,0
900,0.25378,0.70334,0.07132,0
791,0.91199,-0.10258,-0.16000,1
559,0.51965,0.65499,-0.46473,0
120,0.70412,0.36988,-0.27549,0
175,0.84708,-0.18055,-0.18621,1
848,0.71993,-0.20667,-0.02005,1
725,-0.75921,0.23178,0.14027,0
960,0.32147,0.06707,-0.76637,0
895,-0.70424,0.33733,-0.53457,0
255,-0.21344,0.59571,0.56535,0
396,1.24090,0.48325,0.12801,1
213,0.91806,-0.08764,-0.15091,1
320,0.47504,0.66970,-0.08304,0
448,-0.33866,0.87597,0.09647,0
352,-0.85256,0.00372,-0.26695,0
556,-0.20113,0.34829,0.75834,0
699,0.64628,0.65278,-0.00690,0
934,0.92610,-0.23458,-0.03830,1
83,-0.77361,0.08210,0.47509,0
686,-0.46108,0.71464,-0.10071,0
888,0.32047,0.75035,0.06421,0
205,0.58164,0.52157,-0.39611,0
351,-0.16752,0.35108,0.11799,1
800,0.01030,0.21660,-0.50053,0
784,-0.01779,0.01948,0.26387,1
486,0.03888,0.08480,0.02622,1
524,-0.58631,0.34631,-0.46042,0
109,0.50047,0.61250,-0.13868,0
761,-0.06510,0.62436,-0.63415,0
189,-0.46866,0.35095,-0.18868,0
134,0.27480,0.46030,-0.12728,0
95,-0.39522,0.51302,-0.55782,0
325,0.21703,0.41866,-0.66219,0
